Asset Name,BU,Latitude,Longitude
TPLEX Rosario Interchange,Infra,16.225235,120.49788
Skyway Buendia NB Off Ramp,Infra,14.553978,121.009638
Skyway Buendia SB On Ramp,Infra,14.553688,121.009416
Skyway Amorsolo SB On Ramp,Infra,14.550647,121.011087
Skyway Amorsolo NB Off Ramp,Infra,14.550815,121.011356
Skyway Don Bosco NB Off Ramp,Infra,14.545412,121.014263
Skyway Magallanes NB Off Ramp,Infra,14.529754,121.022721
Skyway Magallanes SB On Ramp,Infra,14.528436,121.023023
NICHOLS INTERCHANGE,Infra,14.524399,121.025594
Skyway Merville Exit,Infra,14.511757,121.031795
Skyway C5 Interchange,Infra,14.509089,121.033657
Skyway Bicutan Interchange,Infra,14.486914,121.044916
Skyway Sucat Interchange,Infra,14.453813,121.045216
Skyway Alabang Interchange,Infra,14.423032,121.045285
Skyway Extension,Infra,14.405498,121.040579
Skyway Stage 3 Buendia NB On Ramp,Infra,14.562208,121.005197
Skyway Stage 3 Buendia SB Off Ramp,Infra,14.564509,121.003655
Skyway Stage 3 Quirino NB On Ramp,Infra,14.577532,120.997723
Skyway Stage 3 Quirino NB Off Ramp,Infra,14.575936,120.997839
Skyway Stage 3 Plaza Dilao SB Off Ramp,Infra,14.580882,120.999227
Skyway Stage 3 Plaza Dilao SB On Ramp,Infra,14.581139,121.000023
Skyway Stage 3 Nagtahan NB On Ramp,Infra,14.584544,121.002273
Skyway Stage 3 Nagtahan NB Off Ramp,Infra,14.584448,121.002028
Skyway Stage 3 Nagtahan SB Off Ramp,Infra,14.584239,121.002472
Skyway Stage 3 E. Rodriguez NB On Ramp,Infra,14.611378,121.017006
Skyway Stage 3 E. Rodriguez SB Off Ramp,Infra,14.618015,121.014883
Skyway Stage 3 Quezon Ave. NB Off Ramp,Infra,14.622717,121.015337
Skyway Stage 3 Quezon Ave. SB On Ramp,Infra,14.622988,121.015053
Skyway Stage 3 Quezon Ave. NB On Ramp,Infra,14.630772,121.010749
Skyway Stage 3 Quezon Ave. SB Off Ramp,Infra,14.634442,121.008834
Skyway Stage 3 Sgt. Rivera NB Off Ramp,Infra,14.644047,120.99581
Skyway Stage 3 Sgt. Rivera SB On Ramp,Infra,14.643878,120.995102
Skyway Stage 3 Sgt. Rivera SB Off Ramp,Infra,14.644539,120.993934
Skyway Stage 3 A. Bonifacio NB Off Ramp,Infra,14.652762,120.997704
Skyway Stage 3 A. Bonifacio SB On Ramp,Infra,14.653447,120.997738
Skyway Stage 3 NLEX NB Off Ramp,Infra,14.671076,121.000564
Skyway Stage 3 NLEX SB On Ramp,Infra,14.671271,121.000165
NAIAX Skyway Interchange,Infra,14.522899,121.024561
NAIAX Andrews Avenue Off Ramp,Infra,14.518463,121.01657
NAIAX Andrews Avenue On Ramp,Infra,14.520239,121.015723
NAIAX Terminal 3 Off Ramp,Infra,14.525837,121.010984
NAIAX Tramo On Ramp,Infra,14.528248,121.00467
NAIAX CAVITEX On/Off Ramps,Infra,14.516553,120.992989
NAIAX E City On/Off Ramps,Infra,14.51737,120.988153
NAIAX Macapagal Avenue On/Off Ramps,Infra,14.519241,120.99067
NAIA RD. On Ramp,Infra,14.516362,121.002414
NAIAX Terminal 1 Off Ramp,Infra,14.513389,121.003335
NAIAX Terminal 2 Off Ramp,Infra,14.513907,121.006495
SLEX Alabang Interchange,Infra,14.422741,121.04541
SLEX Filinvest Interchange,Infra,14.411013,121.042979
SLEX Susana Heights Interchange,Infra,14.382961,121.04045
SLEX San Pedro Interchange,Infra,14.366513,121.043351
SLEX Southwoods Interchange,Infra,14.332976,121.054358
SLEX Carmona Interchange,Infra,14.320926,121.06304
SLEX Mamplasan Interchange,Infra,14.303498,121.078199
SLEX Sta. Rosa Interchange,Infra,14.285066,121.088627
SLEX Greenfield Interchange,Infra,14.253162,121.104762
SLEX Cabuyao Interchange,Infra,14.241121,121.111719
SLEX Silangan Interchange,Infra,14.229783,121.118728
SLEX Canlubang Interchange,Infra,14.211887,121.129698
SLEX Batino Interchange,Infra,14.200484,121.134953
SLEX Calamba Interchange,Infra,14.193264,121.141149
SLEX Sto. Tomas Interchange,Infra,14.126213,121.13827
STAR Tanauan Interchange,Infra,14.086313,121.132534
STAR Malvar Interchange,Infra,14.039344,121.150159
STAR Balete Interchange,Infra,13.974457,121.148958
STAR Lipa City Interchange,Infra,13.941832,121.138291
STAR Ibaan Interchange,Infra,13.840025,121.121047
STAR Batangas City  Interchange,Infra,13.79752,121.071144
Bulacan Bulk Water Supply Project,Infra,14.78534,121.07216
