geometry,10,20,50,100,200,500
POINT (116 21.5),136.14680058546756,153.09190730156365,171.56125029143797,181.5217640166762,189.99999999999994,201.69627587637137
POINT (116.1 21.5),136.7105021842539,153.50500251915014,173.20746208070636,183.64595958127194,192.64827060624035,202.34192951190494
POINT (116.19999999999999 21.5),137.79054061671295,153.52383614343537,174.86554349575792,185.41282380963398,192.7713839962525,200.77655830280122
POINT (116.29999999999998 21.5),137.28094482347709,154.94103872528353,175.92154809587407,186.1375115955123,193.16553579625813,200.77655830280122
POINT (116.39999999999998 21.5),138.22579196143175,154.87107543202592,175.92154809587407,185.69193000738645,192.30068882780571,199.2616271391877
POINT (116.49999999999997 21.5),138.66744089228374,155.51776139744797,174.83724482208382,187.1604848830911,194.41934333180194,201.69627587637137
POINT (116.59999999999997 21.5),139.64231674416095,155.21277160743415,176.22635869177248,189.22958033909075,196.64337321738097,202.82519129601152
POINT (116.69999999999996 21.5),139.87332891110404,155.38553062605246,175.34589101318738,191.0965270533666,197.15332152014744,204.2527175937048
POINT (116.79999999999995 21.5),140.1988811714912,155.87062503515003,175.38731544255876,190.76081919666262,201.713314468774,
POINT (116.89999999999995 21.5),140.00000000000006,155.45037384650536,175.34589101318738,190.76081919666262,203.38589641481806,
POINT (116.99999999999994 21.5),140.39446114357804,155.7900315009811,177.14193983821949,189.99999999999994,204.4824806346396,213.20598430628883
POINT (117.09999999999994 21.5),140.38234107916512,155.51988549615032,178.18054777772534,191.8128115563775,206.0133551918657,216.46091306673074
POINT (117.19999999999993 21.5),140.39446114357804,155.14449603886894,178.43022296385172,193.25797834385835,205.71560319528052,218.59722478901625
POINT (117.29999999999993 21.5),140.51087057899795,157.66860096053935,178.60962094021357,193.42609244359383,204.87302319885748,218.59722478901625
POINT (117.39999999999992 21.5),140.33030495789257,157.7868601799867,182.00811311172828,194.12810079508318,207.60530979972725,216.7683346099532
POINT (117.49999999999991 21.5),141.20897441489745,158.4871685957842,183.10923441730836,194.8811364385358,209.99999999999991,219.0378535002039
POINT (117.59999999999991 21.5),142.28832753569685,159.7821641231282,183.61097407655149,195.07843491706885,207.60530979972725,
POINT (117.6999999999999 21.5),143.72968924652199,160.85676924939315,182.475232690979,195.34194857759195,207.93251210337866,
POINT (117.7999999999999 21.5),144.7369256947605,161.37858379831678,182.7282182221655,196.0103597853263,208.34516638641892,
POINT (117.89999999999989 21.5),145.229240954473,162.47105350191043,184.05471770170692,195.86177336286826,208.16769022422503,
POINT (117.99999999999989 21.5),146.10220849936286,163.09610478911213,183.17069853025396,197.78137950130468,208.59586322206863,
POINT (118.09999999999988 21.5),148.22683279771707,163.4823617603612,183.8673937047261,199.01200579015372,207.58735934767358,
POINT (118.19999999999987 21.5),148.86729039408885,164.6455285390957,182.96773859585318,201.3878264090212,207.2498786736596,
POINT (118.29999999999987 21.5),148.74090460421525,163.013647534123,183.76784845574971,200.00000000000003,210.97319288104384,221.36857928052217
POINT (118.39999999999986 21.5),149.85335614094936,164.0345254005524,183.8673937047261,201.22869330012605,211.58300031575294,223.65450945339046
POINT (118.49999999999986 21.5),149.73660726194652,165.3205719250398,184.41708839222963,201.7067709592629,219.99999999999997,229.0387468464014
POINT (118.59999999999985 21.5),149.2364314919862,166.02890584123796,186.32175776165704,200.00000000000003,216.01607137376132,226.46327188971526
POINT (118.69999999999985 21.5),150.5880906719084,166.63165286470368,186.94841640478523,200.00000000000003,219.99999999999997,229.0387468464014
POINT (118.79999999999984 21.5),150.00000000000003,167.63308082679376,185.9327725850745,202.97326680064995,218.34672490728542,232.78017055866624
POINT (118.89999999999984 21.5),150.74262369018814,167.5576869526691,188.86882644706938,204.4824806346396,218.34672490728542,237.61095599712695
POINT (118.99999999999983 21.5),152.3166902681853,168.5102209000486,191.55091222305302,206.25166245743372,219.99999999999997,237.61095599712695
POINT (119.09999999999982 21.5),152.34783306863744,169.55437632007087,190.4991317381151,206.47763381652175,220.97410724393333,235.67662912621145
POINT (119.19999999999982 21.5),152.17985422858555,171.39458873261657,191.8128115563775,208.66789723496686,222.80113988069172,231.70069026871624
POINT (119.29999999999981 21.5),153.69061943954168,173.35421075208393,192.73098140889016,209.99999999999991,221.21533129954378,225.8944908669846
POINT (119.3999999999998 21.5),154.78810088349942,173.9731126108364,194.58144892405275,209.99999999999991,218.76631844685673,230.2593293858669
POINT (119.4999999999998 21.5),155.45046665652012,175.8488171015681,196.0103597853263,207.66271045645112,214.6835374720971,222.778265971663
POINT (119.5999999999998 21.5),155.87730072423898,177.24971478343593,196.56821538009598,206.7919030001507,215.15630231706731,226.8137828062992
POINT (119.69999999999979 21.5),157.9865413714235,178.81361373982125,199.46892369149273,209.33598173716285,217.58942787499308,228.8014983512079
POINT (119.79999999999978 21.5),159.03011272838876,178.63763592926756,200.40015273659571,211.90580924698375,219.99999999999997,229.0387468464014
POINT (119.89999999999978 21.5),160.24453546924676,179.73332535824545,200.87566143931545,213.0931951778904,221.3904355709216,229.1747432184279
POINT (119.99999999999977 21.5),160.5727534304238,181.48689592541433,202.98566971088243,215.40293245184583,223.5063458126722,232.46270201283943
POINT (120.09999999999977 21.5),161.68086285083578,181.4408537359725,204.09928461650603,218.06073239060996,225.6401043230157,238.26665417014576
POINT (120.19999999999976 21.5),162.8910133141281,181.95238097898357,206.08755758569538,220.4637996039271,227.82374228960657,234.7048125717783
POINT (120.29999999999976 21.5),163.15421078432792,184.62612474875277,207.5023720893681,221.09989189684427,227.16025768725316,236.04449606703636
