Facility Name,Latitude,Longitude,1-min MSW 10 yr RP,1-min MSW 20 yr RP,1-min MSW 50 yr RP,1-min MSW 100 yr RP,1-min MSW 200 yr RP,1-min MSW 500 yr RP
Coconut Processing Plant in Gen San,6.065404576,125.1456158,,,,73.0,100.0,165.65447580847274
Tuna Processing Plant in Gen San ,6.064051003,125.150691,,,,74.00000000000001,99.0,166.41446463620696
Commissary in Paranque,14.49557534,121.042187,132.0953460483329,145.54266685376973,158.43255514212237,171.38462864152282,184.4759507628547,196.4554674170855
SM Manila Shakeys Branch,14.59057479,120.9849205,131.89235114922778,145.20776880615597,161.5589530635856,172.15586016015752,189.99999999999997,199.0357898946924
