Asset Name,BU,Latitude,Longitude,bws_06_cat,bws_06_lab
Cebu Glass Plant,SMYPC,10.3333221895031,123.930448250073,3,High (40-80%)
MCLP Cebu,SMYPC,10.3334066280807,123.930534080762,3,High (40-80%)
Manila Plastics Plant Cebu Operations,SMYPC,10.3332271960661,123.930448250053,3,High (40-80%)
Rightpak,SMYPC,14.2242166843758,121.109821775264,3,High (40-80%)
Manila Plastics Plant Laguna Operations,SMYPC,14.2262780292126,121.111208346633,3,High (40-80%)
Logistics Services,SMYPC,14.2223153557836,121.109702750874,3,High (40-80%)
"Mindanao Corrugated Fibreboard, Inc.",SMYPC,7.13837778053246,125.660665759307,3,High (40-80%)
Petron Bataan Refinery,Petron,14.5288,120.5998,3,High (40-80%)
Polypropylene Plant,Petron,14.5,120.6062,3,High (40-80%)
Lube Oil Blending Plant Harbor Center Block 12,Petron,14.630505,120.956935,3,High (40-80%)
Lube Oil Blending Plant Harbor Center Block 13,Petron,14.630409,120.95575,3,High (40-80%)
Navotas Terminal,Petron,14.6393701286481,120.953365235543,3,High (40-80%)
Rosario Terminal,Petron,14.41118,120.85839,3,High (40-80%)
Joint Oil Companies Aviation Storage Plant ,Petron,14.5087772020644,121.011168532221,3,High (40-80%)
Pandacan Manufacturing Plant and Sales Building,Petron,14.5937,121.0089,3,High (40-80%)
Subic Blending Plant,Petron,14.7878266032504,120.311312555025,3,High (40-80%)
Poro Terminal,Petron,16.6077204781832,120.298331723551,3,High (40-80%)
Limay Terminal,Petron,14.5344146246944,120.605842234625,3,High (40-80%)
Batangas Terminal,Petron,13.7591749269198,120.95367663697,3,High (40-80%)
Palawan Terminal,Petron,9.7317770393183,118.740664829771,3,High (40-80%)
Pasacao Sales Office,Petron,13.5034,123.0347,3,High (40-80%)
Mandaue Terminal,Petron,10.323360449829,123.955349562406,3,High (40-80%)
Ormoc Terminal,Petron,11.01519444,124.58980556,3,High (40-80%)
Roxas Terminal,Petron,11.6073484681238,122.72162807768,3,High (40-80%)
Mactan Terminal,Petron,10.3281,123.9832,3,High (40-80%)
Isabel Terminal,Petron,10.9086615960583,124.490246783128,3,High (40-80%)
